country,industry,employee_count,incident_year,security_attribute,compromise_variety_1,confidentiality_state,data_type,confidence,data_disclosure,action,action_variety,action_vector,state_nonstate,asset_group,asset_variety_1,confidentiality_data_total,t_availability_duration_unit,t_discovery_unit,t_containment_unit,t_exfiltration_unit,t_compromise_unit,summary
United States,healthcare,1 to 10,2014,confidentiality,data loss,stored unencrypted,pii,,yes,misuse,privilege abuse,remote access,nonstate,server,database,177.0,,,,,,"A former employee improperly accessed the personal data of approximately 200,000 individuals.  Often discussed on this website is the importance of healthcare organizations  and facilities that store individuals healthcare information  must have the necessary HIPAA administrative safeguards in place. Combined with technical and physical safeguards, organizations have a much greater chance at keeping patients protected health information (PHI) secure.  However, when a facility has lax or outdated security measures, it can be difficult to monitor who is accessing certain systems. When that happens, former employees can log into an online database and potentially extract sensitive data, such as PHI or financial records.  Such is the case with the Early Learning Coalition of Palm Beach County. A breach occurred at the Belle Glade office of Family Central, Inc.The Florida facility recently announced on its website that a former employee accessed the electronic database that manages the personal information of individuals applying for or receiving services from the coalition.  The security breach compromised the personal information of individuals whose data is contained in the system, including parents and children residing in Palm Beach County who have received school readiness services or participated in the Voluntary Prekindergarten Education Program, the statement read.  Spokeswoman Tara Laxer told a local CBS affiliate that 177 people are currently known to have affected by the data breach. However, there could be more victims. The former employee had access to more than 230,000 identities through a statewide information system, the news source reported. Moreover, 110,000 of those records had valid Social Security numbers.  The breach occurred when an employee accessed the database in an unauthorized manner in order to obtain the personal information, including social security numbers, of individuals contained in the database, explained the statement. The employee is no longer employed by Family Central.  State and federal officials are currently investigating the incident, Family Central stated. Individuals whose information was known to have been compromised are being notified via email. However, people who have received services from the organization are encouraged to carefully monitor their credit history and enroll for free fraud alerts with one of the three major credit agencies. Family Central has not yet reported that they will offer any free credit services to those potentially affected by the data breach.  Family Central has implemented additional security measures including expanded security training for all employees, further restricting access to the information system and revising data security policies, the statement said.  Another key thing for organizations to remember is that all third-parties must be aware of the potential privacy risks, and implement the proper security measures to keep data safe. Just last week a New York health insurer had to notify Medicare subscribers that a subcontractor mishandled their PHI. As previously reported, the third-party vendor had a computer coding error, which caused denial letters to be sent to the wrong members. The compromised data included patients names, addresses, member ID numbers and general descriptions of the procedures."
United States,personal service,101 to 1000,2014,integrity,defacement,stored,org,medium,yes,hacking,,,nonstate,server,web application,,,,,,,Rat Research center hacked
India,retail trade,,2012,confidentiality,data loss,stored,pii,,potentially,hacking,,web application,nonstate,,,,,,,,,A chines hacker group exposed customer data due to poor data security at Microsoft India Store. 
New Zealand,government,,2015,confidentiality,data loss,printed,pii,high,yes,error,publishing error,carelessness,nonstate,media,documents,1.0,,,,,seconds,Government agency accidentally discloses informant's identity to employer after workplace complaint
United States,personal service,101 to 1000,2011,availability,loss,stored unencrypted,pii,,yes,hacking,,web application,nonstate,server,web application,,,,,,,"Anonymous and Antisec factions dumped files on the net Friday detailing data from the computer systems of multiple law enforcement agencies and a law enforcement vendor, including the International Association of Chiefs of Police, Boston Police Patrolmens Association and the Baldwin County Sheriffs office in Alabama.  Additionally, the groups took down a number of law enforcement domains hosted together. According to the notice, the sites homepages were defaced, replaced with an anti-police rap video. At the time of publication, the domains simply failed to load, sending a Bad Request (Invalid Hostname) message.  The notice says the attack is in support of the so-called 99% movement, a reference to the Occupy Wall Street protests spreading around the world. The action is described as retaliation against law enforcement for mistreatment of #occupywallstreet, particularly in Boston.  The notice references a 600MB data dump which reportedly includes the IACP membership roster; 1000 names, ranks, addresses, phone numbers, and social security numbesr for police officers in Birmingham and Jefferson Counties; 1,000 names and cleartext passwords for the BPPA; and the client list and financials for Matrix Group, a DC-based web design and marketing firm with law enforcement customers.  The BPPA website has a notice under current events that reads: * Please Note: Starting Monday October 17th 2011 all Users who access the secure section of the site will have to re-register for a NEW Username and Password.  But the site doesnt say why, or warn users that usernames and passwords, which users commonly re-use on other sites, may have been compromised.  The notice contains a details about the compromised servers, but Wired has not been able to locate a publicly available dump of the data, which may not have been released yet.  Matrix Networks, Boston Police Patrolmens Association, and Boston PD did not respond to requests for comment by press time.  Update Monday 10/24 4:00 PDT: Wired has now looked through the documents, recently made available on a website proxied through Tor, and confirmed that the file appears to include personal details of police and other database entries consistent with what was claimed by the Antisec participants. Additionally, Matrix Networks has confirmed that it is working with law enforcement to identify the hackers that compromised its server."
"Taiwan, Province of China",finance and insurance,1001 to 10000,2016,integrity,fraudulent transaction,,,,,hacking,use of backdoor or c2,backdoor or c2,nonstate,terminal,atm,,,,,,,"ey didn't use bank cards but rather appeared to gain control of the machines with a ""connected device,"
Israel,education,1001 to 10000,2012,confidentiality,data loss,stored,pii,,potentially,hacking,,,nonstate,,,160.0,,,,,,"During an Anti-Israeli cyberattack, the Israel Institute of Technology was compromised.  "
China,,,2019,confidentiality,data loss,stored unencrypted,pii,high,yes,error,misconfiguration,carelessness,nonstate,server,database,1800000.0,,,,,,"An open database in China contains the personal information of more than 1.8 million women, including their phone numbers, addresses, and something called “BreedReady” status, according to a researcher.  Victor Gevers, a Dutch internet expert from the non-profit group GDI.Foundation, found the insecure data cache while searching for open databases in China. He posted a series of screenshots of it over the weekend.  The database, whose server is in China, included fields labeled in English for sex, age, education, marital status, as well as a column titled “BreedReady”, which could be a poor translation of Chinese terms to describe whether a woman has children or is of child-bearing age, observers noted. It was taken down late on Monday afternoon local time, according to Gevers.  The data breach is alarming in the context of official concerns over China’s falling birthrates. Women rights advocates and critics of China’s use of strict family planning rules worry about how far the government will go to encourage more women to have children.  It is not clear whether the database is related to a dating app, a government registry, or another organisation or company. Gevers, who also identified a database maintained by a surveillance company tracking at least 2.5 million residents in Xinjiang, said he was still taking samples and working on verifying the data.  “More than this, we don’t have at the moment. Our primary concern is that it gets secured ASAP,” he told the Guardian.  The average age of women in the database was 32, with the youngest being 15, he said. Almost 90% of included entries were described single and 82% were listed as living in Beijing.  The database also included fields labeled “political” and “hasvideo” as well as links to what appear to be Facebook profile pages. Facebook is blocked in China and can only be accessed through virtual private networks.  Other IT specialists believed the database could have been built by a hacker who stole secured data from a dating website. Gevers said he and others were contacting some of those whose profile pages were linked to see if they were aware of the database or had registered such information.  In a thread titled “Is this the prologue to The Handmaid’s Tale?” on the discussion forum Douban, Chinese internet users likened the database to the television show based on a future where women are forced to reproduce.  “This kind of database is very indicative and frightening,” said one user, adding: “I’m a pessimist and the fact that stories like The Handmaid’s Tale exist means the signs are already there.”  Others were less surprised and wondered whether the information could be related to the Chinese dating website Jiayuan, which was hacked by a security researcher aiming to highlight the site’s vulnerabilities in 2015. One user on Douban wrote: “To tell the truth, this kind of data is everywhere.”"
United Kingdom,government,10001 to 25000,2015,availability,loss,stored,pii,medium,potentially,error,loss,carelessness,nonstate,media,disk media,3.0,,,,,,"Greater Manchester Police has been fined £150,000 after three DVDs containing footage of interviews with victims of violent or sexual crimes got lost in the post. The force sent the unencrypted DVDs to the Serious Crime Analysis Section (SCAS) of the National Crime Agency by recorded delivery but they were never received. The DVDs, which showed named victims talking openly, have never been found."
India,government,,2014,integrity,defacement,,,,,hacking,,,nonstate,server,web application,,,,,,,Web site defacement
Jamaica,government,,2015,integrity,defacement,,,,,hacking,,web application,nonstate,,,,,,,,,"The website of the Jamaica Information Service (JIS) has been hacked, but the management is seeking to assure that critical information has not been compromised.  A visit to the website revealed the following message: ""hacked by Holako"".  However, the perpetrator of the attack was not immediately clear.  On a subsequent visit, another message appeared saying the site was ""down for maintenance"".  The JIS is the Government of Jamaica's main media and information arm.  Contacted last this evening, the JIS CEO, Donna-Marie Rowe, said no sensitive information had been lost.  ""The aggressor's attempts at breaching our system did not result in access to  sensitive data but was constrained to 'surface defacement',"" she said in an email.  ""Our security team is undertaking recovery and reinforcement procedures as we speak and the JIS website will resume normal function in short order.""  This development comes weeks after the government warned its employees of a virus being sent via an email. "
Australia,information telecom,,2013,integrity,modify data,,,,,hacking,,web application,nonstate,server,web application,,,,,,,"A hacker that uses the online moniker SeCuR!TY DR@G0N has hacked MacTalk (mactalk.com.au), Australias main Apple community. The website has been defaced to display a pro-Syria message."
United States,finance and insurance,11 to 100,2015,confidentiality,data loss,transmitted unencrypted,pii,medium,potentially,error,classification error,carelessness,nonstate,people,customer,,,,,,,Board member used unsecure Email server to send confidential customer information to other board members
United States,healthcare,11 to 100,2019,confidentiality,data loss,,phi,high,yes,hacking,,web application,nonstate,server,email,,,weeks,days,,,"Vermont's Addison County Home Health & Hospice notified 758 patients that some of its PHI got exposed due to an email security breach recently. email security breach has been discovered on Apr. 26, 2019. Addison County Home Health & Hospice secured the account immediately and began an investigation. One topmost cyber security company was hired to help in determining what has happened and what kind of information may be there in the compromised email account.     The investigation has revealed that unauthorized access to email account of an employee was gained first on Feb. 19, 2019. However, the investigation was not able to determine whether that unauthorized individual has actually viewed any emails in that compromised email account.     The data breach notice to the consumers also said that ""in an abundance of caution, we reviewed all emails and attachments in the account to find information that may have been accessible to the unauthorized person"". The analysis of those emails in that compromised email account revealed they contain the names, clinical information, as well as for some patients, Social Security numbers and medical record numbers."
United States,"professional, scientific, and technical services",1001 to 10000,2017,integrity,alter behavior,printed,ip,high,yes,misuse,privilege abuse,lan access,nonstate,user device,desktop,,,months,,,,"Idexx says rival company recruited its workers, stole trade secrets"
United States,healthcare,101 to 1000,2011,confidentiality,data loss,stored,phi,,yes,misuse,privilege abuse,lan access,nonstate,server,database,1100.0,,,,None,None,http://www.tiftongazette.com/news/ashburn-woman-charged-for-filing-fraudulent-tax-returns/article_792b5df0-36fe-11e5-9974-937ac8a85503.html; http://www.moultrieobserver.com/news/local_news/tax-fraud-sentences-handed-down/article_88ed6fcc-3716-11e5-86dd-dff847652426.html
Spain,government,101 to 1000,2019,integrity,software installation,,,high,,malware,ransomware,,nonstate,server,,,,,,,,Spanish city gets nailed with ransomware
Turkey,finance and insurance,25001 to 50000,2018,integrity,modify privileges,stored,pii,high,yes,misuse,privilege abuse,lan access,nonstate,server,web application,20227.0,,months,,,,ING Bank Employee misused access to the customer database and emailed information to a third party
United States,finance and insurance,11 to 100,2017,integrity,fraudulent transaction,,,high,,physical,,victim grounds,nonstate,terminal,atm,,,hours,,,minutes,Lake Wales police seek 2 suspects in skimming case - Citizen's Bank
United States,transportation,,2018,integrity,alter behavior,,,high,,malware,ransomware,email attachment,nonstate,user device,desktop,,,,,,,"A shipowner reported that the company’s business networks were infected with ransomware, apparently from an email attachment. The source of the ransomware was from two unwitting ship agents, in separate ports, and on separate occasions. Ships were also affected but the damage was limited to the business networks, while navigation and ship operations were unaffected. In one case, the owner paid the ransom."
United States,healthcare,10001 to 25000,2015,confidentiality,data loss,stored,phi,,yes,misuse,data mishandling,lan access,nonstate,server,database,2.0,,,,None,None,"Doctor shares password with medical assistant, against policy. Assistant misuses access to look up medical record of her boyfriend's ex-girlfriend."
United States,government,,2014,availability,interruption,,,,,error,malfunction,,nonstate,,,,days,,,,,Failure of a unidentified legacy device caused network outage for Pentagon Police 
United States,information telecom,101 to 1000,2017,confidentiality,data loss,stored,pii,medium,yes,hacking,use of stolen creds,web application,nonstate,server,file,,,,,,,Insider tries to scam Dice after hacking company he sold to Dice
United Kingdom,finance and insurance,1 to 10,2018,confidentiality,data loss,stored,pii,medium,yes,malware,brute force,,nonstate,server,database,15000.0,,months,days,,,brute force used to access and steal customer database from credit union.
Pakistan,personal service,,2014,integrity,defacement,,,,,hacking,,,nonstate,server,web application,,,,,,,Web site defacement
,government,,2013,integrity,software installation,,ip,high,yes,hacking,use of backdoor or c2,backdoor or c2,state-affiliated,user device,desktop,,,,,,,Incident associated with Miniduke campaign.
United States,transportation,over 100000,2013,integrity,hardware tampering,processed,pii,,yes,physical,tampering,public facility,nonstate,terminal,kiosk,21.0,,,,,seconds,Two Romanian nationals were arrested during an operation to retrieve skimming hardware from stamp kiosk in USPS Office. They had stolen payment card information from the same location in June.
United States,healthcare,25001 to 50000,2019,confidentiality,data loss,stored,phi,high,yes,misuse,privilege abuse,lan access,nonstate,server,other,1.0,,,,minutes,,employee accesses patient information stored by victim to embarrass her on social media.
United States,information telecom,101 to 1000,2013,confidentiality,data loss,unknown,pii,,yes,misuse,privilege abuse,,nonstate,,,,,,,,,Payroll Clerk stole personal information and committed identity theft.
United States,government,,2013,confidentiality,data loss,,pii,,yes,error,misdelivery,carelessness,nonstate,media,documents,,,,,,,"Patient A had hernia surgery on 03/14/13 and Patient B had shoulder arthroscopy. On 03/14/13 both had the same RN on the discharge note. The facility is unsure if the wrong discharge instructions were given to Patient B, but it looks like patient B's full name, SSN, date of birth and photo were given to Patient A."
United States,information telecom,11 to 100,2019,integrity,software installation,,,high,,malware,ransomware,,nonstate,server,other,,,,,,,Tampa-based community radio station WMNF 88.5-FM is stepping up cybersecurity after its computer systems were hobbled by ransom-seeking hackers last month
United States,information/ app,11 to 100,2016,confidentiality,data loss,stored,pii,,no,hacking,exploit vuln,,nonstate,server,database,,,,,,,password manager website hacked
United States,government,,2013,integrity,software installation,,ip,high,yes,hacking,use of backdoor or c2,backdoor or c2,state-affiliated,user device,desktop,,,,,,,Incident associated with Miniduke campaign.
United States,government,1001 to 10000,2020,confidentiality,data loss,stored,pii,high,yes,error,misconfiguration,,nonstate,server,web application,,,,,,,"The Illinois Department of Employment Security (IDES) has acknowledged a security lapse that exposed the private information of independent contractors and the self-employed.  IDES blamed the security incident on a ""glitch"" in a new system rolled out to process the claims of citizens in the state of Illinois who need to file for unemployment benefits.  Names, Social Security numbers, and other data points -- including phone numbers and addresses -- related to unemployment claims were leaked through the scheme's website, which has been set up to give gig workers access to funds if they have lost their jobs due to the COVID-19 pandemic.  As reported by WBEZ, the new system -- known as Pandemic Unemployment Assistance (PUA) -- launched last week to cater to those who would otherwise not necessarily be covered by unemployment benefits in the state. Over 44,000 applicants opened a claim within the first 24 hours.   IDES' data leak was uncovered by a business owner who applied for benefits and realized she was able to view information belonging to others. According to the publication, ""thousands and thousands"" of records were available.  "
United States,education,11 to 100,2018,integrity,alter behavior,stored,pii,medium,yes,social,pretexting,email,nonstate,people,human resources,350.0,,months,,,,More than 350 employees with Rockdale Independent School District had their personal information stolen. District officials said an employee responded to an email from a scammer pretending to be the superintendent.
United States,healthcare,,2014,confidentiality,data loss,stored,phi,,yes,misuse,privilege abuse,lan access,nonstate,server,database,,,,,,,Nurse accessed electronic records of colleagues and patients without authorization. 
United States,information telecom,over 100000,2019,integrity,fraudulent transaction,stored,pii,high,yes,hacking,use of stolen creds,,nonstate,server,web application,1.0,,months,hours,,,"Earlier this month, Motherboard broke the news that hackers were not only able to access Outlook users’ email metadata as previously reported, but also email content. The breach centered around a hacker getting hold of a Microsoft customer support worker’s login credentials; from there, the hacker could dive into the content of any non-corporate Outlook, Hotmail, or MSN account, Motherboard found."
United States,healthcare,1001 to 10000,2016,confidentiality,data loss,unknown,pii,,potentially,physical,assault,partner facility,nonstate,media,documents,11.0,,,,,,A double-sided paper document listing the personal details of 11 mental health patients was found in the courtyard  
India,manufacturing,1001 to 10000,2014,confidentiality,data loss,stored,ip,high,yes,misuse,knowledge abuse,physical access,nonstate,media,documents,,,,,,,"Valbruna alleges the stolen trade secrets included proprietary knowledge regarding its processes for melting, refining, and casting or pouring stainless steel, as well as customer lists14"
United States,healthcare,1001 to 10000,2019,integrity,alter behavior,stored,phi,medium,yes,hacking,elevate,web application,nonstate,server,email,,,,,,,"he importance of security awareness training for healthcare employees has been highlighted by a recent phishing attack on Bonita Springs, FL-based NCH Healthcare System.  The attack was detected on June 14, 2019 when suspicious email activity was identified in relation to its payroll system. The investigation revealed a staggering 73 employees had responded to phishing emails and disclosed their account credentials to the scammers."
United States,healthcare,1001 to 10000,2015,confidentiality,data loss,stored unencrypted,phi,,yes,misuse,,,nonstate,media,documents,1726.0,,,,,,Medical records were placed in a recycling dumpster within confined spaces of the hospital by an employee
United States,government,50001 to 100000,2014,integrity,fraudulent transaction,,,high,,misuse,privilege abuse,remote access,nonstate,server,web application,,,months,years,,None,tax preparer committed identity theft.
Canada,,,2012,availability,degradation,,org,low,yes,hacking,dos,,nonstate,,,,,,,,,ex-employee launched ddos attack against former employer and then the ISP.
United Kingdom,military,over 100000,2018,integrity,alter behavior,unknown,ip,high,yes,social,influence,social media,state-affiliated,people,end-user,1.0,,,,,,"A perpetrator hacked a female RAF staffer's dating app profile, using her online presence to sweet-talk a male Royal Air Force employee and stealing secret information"
Philippines,information telecom,11 to 100,2016,integrity,fraudulent transaction,,,,,misuse,,,nonstate,media,payment card,,,,,,,movie theater teller busted for stealing when customer inadvertently left her credit card at the ticket booth  
Panama,information telecom,,2012,confidentiality,data loss,stored,pii,,yes,hacking,,web application,nonstate,server,web application,1200.0,,,,,,1200 Usernames and passwords dumped after web site breach.  Purported to be part of #OpMarzoNegro.  No specific hacking details provided in OSINT. 
Italy,finance and insurance,over 100000,2016,confidentiality,data loss,stored,pii,high,yes,hacking,,,nonstate,server,,400000.0,,months,,,,"UniCredit SpA, Italy’s No. 1 bank, said hackers took biographical and loan data from 400,000 client accounts in one of the biggest breaches of European banking security this year.  The attack occurred in September and October of 2016 and June and July of this year, according to an emailed statement from the bank on Wednesday. UniCredit only discovered the breaches this week, two people familiar with the matter said, asking not to be identified discussing a possible criminal matter."
Canada,military,,2016,integrity,modify data,stored,pii,medium,potentially,hacking,,web application,nonstate,server,web application,,,days,,,days,Canadian Department of National Defence investigating possible hack of its recruiting site
Israel,military,1001 to 10000,2015,confidentiality,data loss,stored,ip,high,yes,misuse,data mishandling,physical access,nonstate,people,guard,,,,,,,Israel Soldier sold secrets 
United States,finance and insurance,1001 to 10000,2013,confidentiality,data loss,stored,pii,,yes,misuse,privilege abuse,,nonstate,user device,desktop,,,,,,,Woman uses her position to steal identify information of customers
Germany,government,,2012,integrity,repurpose,stored unencrypted,pii,medium,yes,hacking,,,nonstate,server,database,,,,,,,"A hacker attack which infiltrated Germany’s federal police computer system using Trojan programs and a system of routes via Russia last summer was due to a row about internet usage between a top cop and his daughter. It resulted in the “Patras” server being closed down – meaning that federal police had to halt operations tracking suspects and their vehicles. Interior Minister Hans-Peter Friedrich subsequently said computer security would be made a top priority.  Der Spiegel magazine reported on Sunday that the Frankfurt officer concerned had put a Trojan program on his daughter’s computer to monitor her activities in the internet.  A friend of the young woman from the hacker scene discovered her father’s spyware – and hacked into his computer in order to get back at him. There he found work emails which enabled him to get into the federal police computer system, the magazine said. "
Saudi Arabia,government,,2012,integrity,software installation,,ip,high,yes,hacking,exploit vuln,backdoor or c2,state-affiliated,user device,desktop,,,,,,,"Incident associated with Red October campaign. Phishing email with malware attachment leading to infection, C2, credential compromise, and lateral movement through network. Goal to steal classified info and secrets."
United States,finance and insurance,10001 to 25000,2017,integrity,hardware tampering,processed,pii,high,yes,physical,skimmer,victim grounds,nonstate,terminal,atm,,,,,,minutes,Police Searching For Men Who Installed Skimming Devices At TD Bank: Police
United States,"professional, scientific, and technical services",,2019,confidentiality,data loss,stored unencrypted,pii,high,yes,error,misconfiguration,carelessness,nonstate,server,database,80000000.0,,,,,," ApexSMS suffers data breach exposing the records of 80 million people.  Discovered by security researcher Bob Diachenko, ApexSMS, an SMS text marketing company has suffered a data breach exposing the personally identifiable information of more than 80 million people which was then submitted on an unsecured database.   The exposed database contained 80 million records which included people’s names, locations, phone numbers and IP addresses, as well as mobile numbers and their network.  Very little is known about the company ApexSMS other than it relies on ‘Mobile Drop’, a cloud based SMS platform. Mobile Drip simply allows users to send pre-written messages in bulk. Upon further investigation Diachenko identified that ApexSMS is also the same name of an SMS Bombing program.  Diachenko defines SMS Bombing as:  “A software program that duplicates the same message multiple times or rotates different messages and sends all the messages to a number of your choice.”  SMS Bombing can be used for marketing products or services, as well as for harassment.  An estimated 38 million messages had been sent through disposable toll-free phone numbers, of which 2.1 million victims clicked on the link in the message. The  database  kept track of those who clicked on the links, which then led victims to scam sites. Their credentials were scraped and then submitted to the ApexSMS’ spam database. The database also recorded when victims replied, with more than 115,000 people responding to the spam texts.  Mobile Drip denied any connection to ApexSMS stating:  “We take compliance and data security very seriously, and we are currently investigating to determine to what extent our information has been exposed to unauthorized parties. We have currently engaged an outside legal firm to assist with our investigation of this matter and we are also engaging a cyber security firm to perform a security audit.  “Our servers have always been password protection, so any information that may have been acquired was done so through illegal means with the goal of harming the reputation and financial success of the business.”  Diachenko said:  “This incident raises the issue once again that data security can affect legitimate businesses and what many would consider ‘gray marketing’ at best.” "
United States,finance and insurance,over 100000,2013,integrity,created account,,,,,social,pretexting,phone,nonstate,server,database,,,,,,minutes,"suspects coolly talked their way through a recorded call to gain access to a Deerfield Beach man's bank account and steal more than $12,000. ""He pretended to be the victim's son and placed himself on the account and the bank went ahead and [approved it], believing he was legitimate,"" Iwaskewycz said. Once the joint account was established, Cherestal transferred money into his personal account and started making withdrawals, the detective said."
United States,healthcare,101 to 1000,2018,confidentiality,data loss,stored,pii,high,yes,hacking,,web application,nonstate,server,web application,20000.0,,,,,,Utah Valley Eye Center web application hacked and customer emails used to Paypal targeting
United States,entertainment,11 to 100,2005,integrity,modify data,,,high,no,misuse,privilege abuse,lan access,nonstate,server,code repository,,,years,,,,"The settlement concludes the decade-long saga springing from a computer-assisted scam that Eddie Tipton, former IT director for the Multi-State Lottery Association in Urbandale, ran on the national lottery. Tipton added a secret code to ""random"" number-generating computer software in 2005 that allowed him to narrow the drawing-winning odds in multiple games from as great as 5 million-to-1 down to 200-to-1.   Tipton's scam went undetected for years, and the code was replicated in lottery computer software across the nation. He hijacked at least five winning drawings totaling more than $24 million in prizes in Colorado, Wisconsin, Iowa, Kansas and Oklahoma, court records show."
Ukraine,government,,2013,integrity,modify data,,,,,hacking,,web application,nonstate,server,web application,,,,,,,"While the Ukrainian government sites appear to have been seized by NATO, the more likely scenario is that some hackers defaced them and instead of the usual we hacked you message, they decided to add a more interesting defacement page."
United States,finance and insurance,11 to 100,2004,confidentiality,data loss,unknown,pii,,yes,misuse,lan access,,nonstate,,,,,years,,,,"bank teller misused privilege to access bank accounts and apply for (and self-approve) fraudulent loans, from 2004 to 2012"
Kenya,government,101 to 1000,2016,integrity,alter behavior,stored,pii,,yes,hacking,brute force,,nonstate,server,database,1.0,,,,,,'social-engineering' attack on The Ministry of Foreign Affairs and then hacked
United States,healthcare,11 to 100,2017,integrity,modify data,stored,phi,high,potentially,malware,ransomware,,nonstate,server,,55447.0,,,,,,"A pediatrics practice, ABCD Pediatrics, serving the San Antonio, Texas metropolitan area reported that it was hit with a ransomware attack, but existing antivirus software helped to slow down the attack, and the practice's IT vendor successfully removed the virus and all corrupt data from its servers. However, because hackers may have accessed portions of the practice’s network, the pediatrics group is offering identity and credit protection services from Equifax Personal Solutions to all of its patients."
United States,information telecom,,2013,availability,loss,stored,,,yes,hacking,,web application,nonstate,server,web application,4366.0,,,,,,Website hacked via unknown method and credentials posted to public site.
Singapore,government,,2013,integrity,,,,,,hacking,xss,web application,nonstate,server,web application,,,minutes,,,,"Singapore Prime Minister's Office website hacked by Anonymous. ""It's great to be Singaporean today,"" read a mocking headline in a section of www.pmo.gov.sg next to the group's trademark Guy Fawkes mask, a symbol of anti-establishment defiance worldwide. The hacker also warned of further attacks on the tightly governed island's technological infrastructure if demands for greater Internet freedom were not met. Singapore strictly regulates the traditional media. Its new Internet rules have sparked anger in the blogging and social media community, which says the rules are designed to muzzle free expression. Authorities insist the new licensing rules do not impinge on Internet freedom."
United States,retail trade,11 to 100,2017,integrity,hardware tampering,processed,pii,high,yes,physical,skimmer,victim grounds,nonstate,terminal,atm,,,hours,minutes,,,"7-Eleven in Smithtown had skimming device, Suffolk police say"
United States,healthcare,,2012,integrity,fraudulent transaction,stored,phi,high,yes,misuse,privilege abuse,lan access,nonstate,people,human resources,,,years,,,,"As part of the written plea agreement, Bacon, a convicted felon, admitted to providing fraudulent information on job applications, with the intent to deceive prospective employers by using the registered nurse license numbers of others to gain employment. Bacon posed as a registered nurse, despite having neither a nursing degree nor nursing license from the Tennessee Department of Health and no nursing experience. Through this fraudulent scheme, Bacon was hired by at least eight health care providers between September 2012 and November 2018. Over the six-year period, Bacon worked in a variety of medical settings, including nursing homes, rehabilitation and assisted living facilities, a doctor’s office, and home health agencies."
Germany,healthcare,,2019,confidentiality,data loss,other,phi,medium,yes,error,misconfiguration,carelessness,nonstate,user device,laptop,,,,,,,"The blood donation service of the Bavarian Red Cross has sent health-related data from potential donors to Facebook, including intimate information on HIV infections, pregnancies, drug use or diabetes. This reports the ""Süddeutsche Zeitung"" in her Tuesday edition.  The blood donor data was collected for months on a ""pre-check"" on the website  blutspendedienst.com  , which is operated by the non-profit subsidiary of the Bavarian Red Cross.  Volunteer donors can apparently click anonymously through a survey on diseases and other reasons that exclude them from donating. However, as the controversial "" Facebook Pixel"" advertising tracker was included in the site, the replies were sometimes transferred to the ad network in conjunction with the donor's Facebook accounts."
United States,administrative and support,101 to 1000,2013,integrity,software installation,unknown,pii,,yes,hacking,backdoor,web application,nonstate,server,web application,,,months,,,,"Kroll Background - An identity theft service that sells Social Security numbers, birth records, credit and background reports on millions of Americans has infiltrated computers at some of Americas largest consumer and business data aggregators, according to a seven-month investigation by KrebsOnSecurity."
United States,accomodation and food,,2011,confidentiality,data loss,,pii,,yes,hacking,,,nonstate,server,pos controller,,,,,,,"A former owner of a Subway franchise used software from his new job to access the computer systems of Subway restaurants.  The former owner sold point-of-sale software to Subway restaurants across the country and then worked with an accomplice to remotely hack into at least 13 Subway point-of-sale systems.  The fraud began in 2011.  Fraudulent Subway gift cards totaling at least $40,000 were created.  Two of the California participants were indicted on March 6."
United States,transportation,101 to 1000,2016,confidentiality,data loss,unknown,pii,low,yes,error,publishing error,carelessness,nonstate,server,email,500.0,,minutes,,,,email with GetME drivers emails exposed
United States,healthcare,1001 to 10000,2012,confidentiality,data loss,stored,phi,,potentially,misuse,privilege abuse,lan access,nonstate,server,database,400.0,,years,,None,None,Nurses aide access medical records of patients not in her care.
United States,accomodation and food,1001 to 10000,2017,integrity,software installation,unknown,pii,high,yes,malware,capture app data,direct install,nonstate,server,pos controller,,,years,,,,"Burgerville has revealed a data breach impacting the chain which may have led to the theft of detailed credit card information belonging to customers.  Malware was installed on Burgerville systems in order to scrape and steal customer data. Burgerville says that customer credit and debit card information, including names, card numbers, expiration dates, and CVV security numbers were stolen.The data breach has been attributed to Fin7, also known as Carbanak Group, an international hacking ring which has successfully launched cyberattacks against at least 100 US companies."
United States,,,2015,confidentiality,data loss,stored unencrypted,pii,,yes,error,publishing error,carelessness,nonstate,server,web application,191000000.0,,,,None,None,Database of voting registration lists for millions of US voters mispublished to the Internet.
United States,healthcare,11 to 100,2012,availability,loss,stored unencrypted,pii,,potentially,physical,theft,victim work area,nonstate,user device,laptop,,,hours,,None,minutes,Atlanta Women’s Health Group laptop stolen in a targeted attack against abortion providers in the area
